Anno educativo;prov;Zone;Unione  ;Comuni;CODICE ISTAT;Totale 3-36 mesi;Nidi a titolarità pubblica;Nidi a titolarità Privata;Totale Nidi;Servizi integrativi a titolarità pubblica;Servizi integrativi a titolarità Privata;Totale servizi integrativi;Totale servizi;Ricettività Nidi - Titolarità pubblica;Ricettività Nidi - Titolarità privata;Totale Ricettività Nidi;Ricettività Servizi integrativi - Titolarità pubblica;Ricettività Servizi integrativi - Titolarità privata;Totale Ricettività Servizi integrativi;Totale Ricettività potenziale;Totale Domande (comprensive di rinunce) al 01/09;di cui Rinunce entro il 01/09;Lista d'attesa al 01/09;lista d'attesa al 31/12;Ritirati entro il 31/12;Iscritti Nidi Pubblici gestione diretta;Iscritti Nidi Pubblici gestione indiretta;Totale Iscritti Nidi Pubblici;Iscritti Nidi Privati Convenzionati;Iscritti Nidi Privati Non Convenzionati;Totale iscritti Nidi Privati;Iscritti Servizi integrativi;Totale iscritti;Iscritti minori di 15 mesi;Iscritti 15-26 mesi;Iscritti maggiori di 26 mesi;Totale anticipatari;Indicatore di Lisbona
2024-25;PT;Val  di  Nievole;;Chiesina  Uzzanese;47022;84;;2;2;;;;2;;44;44;;;;44;39;0; <3;6;;;;;24;13;37;;37;12;12;13; <3;45,2
2024-25;PT;Val  di  Nievole;;Lamporecchio;47005;112;;1;1;;;;1;;47;47;;;;47;47;0;0;0;;;;;47;;47;;47;3;4;40;5;46,4
2024-25;PT;Val  di  Nievole;;Larciano;47006;96;;1;1;;;;1;;41;41;;;;41;39;0;9;5; <3;;;;41;;41;;41;5;25;11;5;50
2024-25;PT;Val  di  Nievole;;Massa  e  Cozzile;47008;114;;1;1;;;;1;;68;68;;;;68;68;0;0;20;;;;;68;;68;;68;5;25;38;9;67,5
2024-25;PT;Val  di  Nievole;;Monsummano  Terme;47009;331;1;3;4;;;;4;69;76;145;;;;145;194;13;41;40; <3;;69;69;74;;74;;143;28;64;51;9;46,2
2024-25;PT;Val  di  Nievole;;Montecatini  Terme;47011;408;1;4;5;;;;5;60;114;174;;;;174;165;14;10;5; <3;48;;48;98;;98;;146;31;55;60;7;38
2024-25;PT;Val  di  Nievole;;Pescia;47012;311;1;2;3;;;;3;54;40;94;;;;94;127; <3;27;21;;;54;54;25;20;45;;99;12;41;46;14;36,3
2024-25;PT;Val  di  Nievole;;Pieve  a  Nievole;47013;142;1;1;2;;;;2;39;25;64;;;;64;85; <3;15;15;;;39;39;;30;30;;69;4;37;28;3;50,7
2024-25;PT;Val  di  Nievole;;Ponte  Buggianese;47016;163;;1;1;;;;1;;72;72;;;;72;72;0;0;15;;;;;72;;72;;72;12;28;32;8;49,1
2024-25;PT;Val  di  Nievole;;Uzzano;47021;84;;1;1;;;;1;;18;18;;;;18;21;0;0;0;;;;;21;;21;;21;3;9;9;0;25
2024-25;SI;Alta  Val  d'Elsa;;Casole  d'Elsa;52004;72;;1;1;;;;1;;25;25;;;;25;33;0;8;18;;;;;25;;25;;25;7;12;6;6;43,1
2024-25;SI;Alta  Val  d'Elsa;;Colle  Val  d'Elsa;52012;421;1;3;4;;;;4;57;63;120;;;;120;186; <3;59;87; <3;57;;57;;66;66;;123;27;58;38;16;33,3
2024-25;SI;Alta  Val  d'Elsa;;Poggibonsi;52022;460;2;3;5;;;;5;132;113;245;;;;245;328;13;90;72;3;96;;96;105;24;129;;225;65;89;71;15;52,8
2024-25;SI;Alta  Val  d'Elsa;;Radicondoli;52025;11;;;;;1;1;1;;;;;7;7;7;5;0;0;0;;;;;;;;5;5;0;4; <3;0;45,5
2024-25;SI;Alta  Val  d'Elsa;;San  Gimignano;52028;105;1;1;2;;1;1;3;30;30;60;;17;17;77;75; <3;0;4;;30;;30;36;;36;11;77;12;32;33;3;76,2
2024-25;SI;Amiata  -  Val  d'Orcia;;Abbadia  San  Salvatore;52001;91;;1;1;;;;1;;21;21;;;;21;44;4;0; <3; <3;;;;20;;20;;20; <3;14;4;8;33
2024-25;SI;Amiata  -  Val  d'Orcia;;Castiglione  d'Orcia;52007;24;;;;;;;0;;;;;;;0;0;0;0;0;;;;;;;;;0;;;; <3;4,2
2024-25;SI;Amiata  -  Val  d'Orcia;;Piancastagnaio;52020;56;1;1;2;;;;2;47;12;59;;;;59;48;0;0;0;;;41;41;7;;7;;48;15;14;19;0;85,7
2024-25;SI;Amiata  -  Val  d'Orcia;;Radicofani;52024;9;;;;;;;0;;;;;;;0;0;0;0;0;;;;;;;;;0;;;; <3;22,2
2024-25;SI;Amiata  -  Val  d'Orcia;;San  Quirico  d'Orcia;52030;53;1;;1;;;;1;20;;20;;;;20;26;0;4;4;;;22;22;;;;;22;4;13;5; <3;45,3
2024-25;SI;Senese;;Asciano;52002;118;;1;1;;;;1;;18;18;;;;18;21;0;0;6;;;;;21;;21;;21; <3;7;13;4;21,2
2024-25;SI;Senese;;Buonconvento;52003;48;1;;1;;;;1;36;;36;;;;36;31;4;3;3;;;24;24;;;;;24;4;9;11;0;50
2024-25;SI;Senese;;Castellina  in  Chianti;52005;44;1;;1;;;;1;18;;18;;;;18;21;3;0;0;;;18;18;;;;;18;3;15;0;0;40,9
2024-25;SI;Senese;;Castelnuovo  Berardenga;52006;165;2;1;3;;;;3;48;28;76;;;;76;68;7;0;0; <3;;42;42;;23;23;;65;9;31;25;6;43,6
2024-25;SI;Senese;;Chiusdino;52010;31;1;;1;;;;1;17;;17;;;;17;12;0;0;0;;;11;11;;;;;11; <3;5;5;0;35,5
2024-25;SI;Senese;;Gaiole  in  Chianti;52013;39;1;;1;;;;1;21;;21;;;;21;23;7;0;0;;;17;17;;;;;17;3;9;5; <3;48,7
2024-25;SI;Senese;;Montalcino;52037;86;4;;4;;1;1;5;52;;52;;7;7;59;56; <3; <3;0;4;;35;35;;;;3;38;8;14;16;0;48,8
2024-25;SI;Senese;;Monteriggioni;52016;190;2;1;3;;;;3;102;49;151;;;;151;139; <3;0;7;3;;100;100;;49;49;;149;37;83;29;4;82,1
2024-25;SI;Senese;;Monteroni  d'Arbia;52017;204;1;;1;1;;1;2;40;;40;15;;15;55;97;14;29;29; <3;;40;40;;;;14;54;8;20;26;9;31,4
2024-25;SI;Senese;;Monticiano;52018;31;;;;;;;0;;;;;;;0;0;0;0;0;;;;;;;;;0;;;;0;0
2024-25;SI;Senese;;Murlo;52019;43;1;;1;;;;1;24;;24;;;;24;21;0;0;0;;;16;16;;;;;16;0;16;0;3;44,2
2024-25;SI;Senese;;Radda  in  Chianti;52023;24;;;;;;;0;;;;;;;0;0;0;0;0;;;;;;;;;0;;;;0;0
2024-25;SI;Senese;;Rapolano  Terme;52026;96;1;;1;;;;1;58;;58;;;;58;54;4;4;0; <3;;46;46;;;;;46;7;20;19; <3;50
2024-25;SI;Senese;;Siena;52032;831;7;9;16;;;;16;273;294;567;;;;567;697;22;136;123;3;197;62;259;272;;272;;531;105;199;227;12;65,7
2024-25;SI;Senese;;Sovicille;52034;190;2;1;3;;;;3;80;28;108;;;;108;111;3;0;0;4;;96;96;;29;29;;125;35;54;36;0;67,9
2024-25;SI;Val  di  Chiana  Senese;;Cetona;52008;31;1;;1;;;;1;21;;21;;;;21;26;0;5;5;;;21;21;;;;;21;5;8;8; <3;71
2024-25;SI;Val  di  Chiana  Senese;;Chianciano  Terme;52009;89;1;1;2;;;;2;25;28;53;;;;53;46;0;0;0;;;17;17;28;;28;;45;5;18;22; <3;52,8
2024-25;SI;Val  di  Chiana  Senese;;Chiusi;52011;129;1;1;2;;;;2;53;25;78;;;;78;87;7;4; <3; <3;;52;52;23;;23;;75;10;28;37;4;62,8
2024-25;SI;Val  di  Chiana  Senese;;Montepulciano;52015;209;2;1;3;;;;3;59;24;83;;;;83;114; <3;96;36;;;60;60;17;;17;;77;24;30;23;10;41,6
2024-25;SI;Val  di  Chiana  Senese;;Pienza;52021;27;1;1;2;;;;2;10;7;17;;;;17;33;6;10;10;;;10;10;;7;7;;17;3;6;8;0;63
2024-25;SI;Val  di  Chiana  Senese;;San  Casciano  dei  Bagni;52027;9;;;;;;;0;;;;;;;0;0;0;0;0;;;;;;;;;0;;;;0;0
2024-25;SI;Val  di  Chiana  Senese;;Sarteano;52031;59;1;;1;;;;1;24;;24;;;;24;24; <3;0;0;;;24;24;;;;;24;5;13;6; <3;44,1
2024-25;SI;Val  di  Chiana  Senese;;Sinalunga;52033;215;2;1;3;;;;3;80;21;101;;;;101;118;3;16;16;;;85;85;;14;14;;99;20;39;40;7;49,3
2024-25;SI;Val  di  Chiana  Senese;;Torrita  di  Siena;52035;85;1;1;2;;1;1;3;17;23;40;;7;7;47;28;0;0;0;;;17;17;23;;23;7;47;3;19;25;4;60
2024-25;SI;Val  di  Chiana  Senese;;Trequanda;52036;6;;;;;;;0;;;;;;;0;30;0;0;0;;;;;;;;;0;;;;3;50
;;Toscana;;;;59052;415;417;832;32;53;85;917;15162;11772;26934;664;479;1143;28077;37144;1932;8178;5961;240;5167;9569;14736;9804;1874;11678;1024;27438;5313;11430;10695;1618;49,6
